codigo,titulo,secao,grupo,tipo
GHA16,Jogador GHA16,Gana,Grupo L,Comum
GHA17,Jogador GHA17,Gana,Grupo L,Comum
GHA18,Jogador GHA18,Gana,Grupo L,Comum
GHA19,Jogador GHA19,Gana,Grupo L,Comum
GHA20,Jogador GHA20,Gana,Grupo L,Comum
PAN9,Jogador PAN9,Panama,Grupo L,Comum
PAN10,Jogador PAN10,Panama,Grupo L,Comum
PAN11,Escudo,Panama,Grupo L,Especial
PAN12,Jogador PAN12,Panama,Grupo L,Comum
PAN13,Jogador PAN13,Panama,Grupo L,Comum
PAN14,Jogador PAN14,Panama,Grupo L,Comum
PAN15,Jogador PAN15,Panama,Grupo L,Comum
PAN16,Jogador PAN16,Panama,Grupo L,Comum
PAN17,Jogador PAN17,Panama,Grupo L,Comum
PAN18,Jogador PAN18,Panama,Grupo L,Comum
PAN19,Jogador PAN19,Panama,Grupo L,Comum
PAN20,Jogador PAN20,Panama,Grupo L,Comum
